Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year	TP1	TP2
Germany/SN-RKI-I-020126/2021	Cow_Farm	Germany	Saxony	0	51.0523453	13.3484688	9	2	2021	0	1
Switzerland/VS-ETHZ-460321/2021	Cow_Farm	Switzerland	Valais	0	46.260448	7.712266	20	1	2021	0	1
Spain/CT-IrsiCaixaR006QG7F1/2021	Cow_Farm	Spain	Catalunya	Manresa	41.7979813	1.528533	15	2	2021	0	1
Portugal/PT2706/2021	Cow_Farm	Portugal	0	0	55.8761482	12.3121624	12	1	2021	0	1
Germany/SN-RKI-I-031551/2021	Cow_Farm	Germany	Saxony	0	51.0523453	13.3484688	25	2	2021	0	1
Netherlands/UT-EMC-237/2020	Cow_Farm	Netherlands	Utrecht	0	52.0916824	5.1203632	28	12	2020	0	1
Italy/MOL-IZSGC-72053.1.12/2021	Cow_Farm	Italy	Molise	Campobasso	41.6310921	14.4934607	4	2	2021	0	1
Germany/TH-RKI-I-015712/2021	Cow_Farm	Germany	Thuringia	0	50.9037933	11.0247221	28	1	2021	0	1
Wales/PHWC-4D50F1/2021	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	4	2	2021	0	1
Netherlands/ZE-RIVM-11130/2021	Cow_Farm	Netherlands	Zeeland	0	51.5613708	3.897608	22	1	2021	0	1
Poland/2081274433_gx1/2021	Cow_Farm	Poland	Wielkopolskie	Maniewo	52.3315773	17.2424011	29	1	2021	0	1
Scotland/EDB10829/2020	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	8	12	2020	0	1
Portugal/PT1947/2020	Cow_Farm	Portugal	0	0	56.2487679	9.3879137	11	11	2020	0	1
Wales/QEUH-A001F4/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	30	9	2020	1	1
Germany/SN-RKI-I-016475/2021	Cow_Farm	Germany	Saxony	0	51.0523453	13.3484688	27	1	2021	0	1
Ireland/D-NVRL-85IRL21634/2021	Cow_Farm	Ireland	Dublin	0	53.3440971	-6.2674861	4	2	2021	0	1
Wales/ALDP-B1B66F/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	1	11	2020	0	1
Spain/MD-IBV-99020638/2020	Cow_Farm	Spain	Madrid	Madrid	40.4166908	-3.700346	16	9	2020	1	1
Italy/CAM-AMES-12-57/2021	Cow_Farm	Italy	Campania	Naples	40.8605804	14.8440666	19	2	2021	0	1
Scotland/QEUH-12371CC/2021	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	8	2	2021	0	1
Switzerland/SG-ETHZ-420700/2020	Cow_Farm	Switzerland	Sankt Gallen	0	47.421621	9.377789	24	12	2020	0	1
Spain/CT-HUGTiPR006BX5F5/2021	Cow_Farm	Spain	Catalunya	Sant Antoni de Vilamajor	41.7979813	1.528533	15	2	2021	0	1
Netherlands/NH-RIVM-12339/2021	Cow_Farm	Netherlands	North Holland	0	52.5769081	4.924386	27	1	2021	0	1
Italy/ABR-IZSGC-101854/2021	Cow_Farm	Italy	Abruzzo	0	42.2274933	13.8549938	19	2	2021	0	1
Wales/PHWC-49064B/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	12	11	2020	0	1
